date,sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,,RMSE,MAE,R2
01-12-2016,663411,-228037,27811,-33194,-84663,-157224,116054,33934,86780,111069,175924,12518,-5133,-220073,,,,
01-01-2017,617306,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,86780,111069,175924,12518,-5133,,,,
01-02-2017,621369,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,86780,111069,175924,12518,,,,
01-03-2017,822667,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,86780,111069,175924,,,,
01-04-2017,938862,116195,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,86780,111069,,,,
01-05-2017,1020686,81824,116195,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,86780,,,,
01-06-2017,1064624,43938,81824,116195,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,33934,,,,
01-07-2017,1171393,106769,43938,81824,116195,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,116054,,,,
01-08-2017,1026403,-144990,106769,43938,81824,116195,201298,4063,-46105,-228037,27811,-33194,-84663,-157224,,,,
01-09-2017,935263,-91140,-144990,106769,43938,81824,116195,201298,4063,-46105,-228037,27811,-33194,-84663,,,,
01-10-2017,891160,-44103,-91140,-144990,106769,43938,81824,116195,201298,4063,-46105,-228037,27811,-33194,,,,
01-11-2017,928837,37677,-44103,-91140,-144990,106769,43938,81824,116195,201298,4063,-46105,-228037,27811,,,,
01-12-2017,695170,-233667,37677,-44103,-91140,-144990,106769,43938,81824,116195,201298,4063,-46105,-228037,,,,
